Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,label,text,target,indo_tweet,indo_target
13,13,13,neutral,me: along. alg: hmm me: tonight i need a sea games cc: hmm #permissionobtained,sea games,Me : along. Alg : hmm Me : malam ni pi tgk cc sea games Alg : hmm #permissionobtained,sea games
14,14,14,neutral,"pecundangi malaysia, thailand champion sea games soccer 2017 <url>",sea games,"Pecundangi Malaysia, Thailand Juara Sepakbola Sea Games 2017 https://mainbola.co/2017/08/30/pecundangi-malaysia-thailand-juara-sepakbola-sea-games-2017/",Sea Games
15,15,15,neutral,"win the bronze medal of 2017 sea games, this comment ryuji utomo <url> <url>",sea games,"Raih Medali Perunggu SEA Games 2017, Ini Komentar Ryuji Utomo https://bolalob.com/read/62663/raih-medali-perunggu-sea-games-2017-ini-komentar-ryuji-utomo  http://pic.twitter.com/XFCDBUIAWv",SEA Games
16,16,16,positive,"it needs to be appreciated, the government cq kemenpora has succeeded in combining the sea games with pancasila, sports also love with the number 5 ..",sea games,"Perlu di apresiasi sih , Pemerintah cq Kemenpora telah berhasil MENGGABUNGKAN Sea Games dgn PANCASILA, Olahraga pun cinta dengan angka 5..",Sea Games
17,17,17,neutral,indonesia vs myanmar 3-1 sea games 2017! indonesia vs myanmar! myanmar ... <url> via @youtube,sea games,INDONESIA VS MYANMAR 3-1 SEA GAMES 2017 ! INDONESIA VS MYANMAR ! MYANMAR... https://youtu.be/ZbquyRqJo4g via @YouTube,SEA GAMES
18,18,18,neutral,"she slays sea games when she's 15 ?? and got bronze! wow ... i'm 23 pounds, not necessarily getting top 20 dik ... bro, weh !!",sea games,She slays SEA Games when she's 15?? And got bronze! Wow..aku umur 23 pon belum tentu dapat top 20 dik.. tahniah weh!!,SEA Games
19,19,19,neutral,"malaysia's next sea games will host again in the next 20 years, so it means my age is 41 years old at that time.",sea games,The next sea games yg malaysia akan jadi tuan rumah lagi adalah pada 20 tahun akan dtg so it means my age is 41 tahun at that time.,sea games
20,20,20,neutral,heh ... when the book ... is it normal not to think of playing the sea games bol,sea games,Heh..pala tok..malar jak fikir main bol sea games kmarik,sea games
21,21,21,neutral,"2017 sea games, satria tama statistics defeat gianluigi buffon <url>",sea games,"SEA Games 2017, Statistik Satria Tama Kalahkan Gianluigi Buffon https://www.duniabola99.org/sea-games-2017-statistik-satria-tama-kalahkan-gianluigi-buffon/",SEA Games
22,22,22,neutral,"#indonesiapagiini conquests myanmar 3-1, u-22 timnabets save bronzes sea games 2017 #ozjms <url>",sea games,"#INDONESIAPAGIINI TAKLUKKAN MYANMAR 3-1, TIMNAS U-22 SABET PERUNGGU SEA GAMES 2017 #OZJMS http://pic.twitter.com/j7jgA1OWZK",SEA GAMES
23,23,23,neutral,full time: sea games finals (soccer) malaysia 0 1 thailand muhehehehe lost in the final,sea games,Full Time : Final SEA Games (Sepakbola) MALAYSIA 0 1 THAILAND Muhehehehe malingsial kalah di final,SEA Games
24,24,24,neutral,i liked a @youtube video <url> great !!! the psht fighter puspa arum sari names the nation in the sea games,sea games,I liked a @YouTube video http://youtu.be/MO7UltBdiMk?a Hebat !!! Pesilat PSHT Puspa Arum Sari mengharumkan nama bangsa di ajang sea games,sea games
25,25,25,neutral,indonesia records defeated myanmar 3 1 at sea games malaysia <url> <url>,sea games,Catatan Indonesia kalahkan Myanmar 3 1 di Sea Games Malaysia http://www.paralayangwonosobo.com/catatan-indonesia-kalahkan-myanmar-3-1-di-sea-games-malaysia/  http://pic.twitter.com/VuMI1wiwb2,Sea Games
26,26,26,neutral,it was during this regime that indonesia was helpless in the sea games event ... position lima euiiii ...,sea games,Pada masa rezim inilah Indonesia tdk berdaya pada event SEA Games .... Posisi LIMA euiiii....,SEA Games
27,27,27,neutral,"at the sea games yesterday we were under malaysia, vietnam, thailand and singapore. in general, it can be a proxy for economic power.",sea games,"Di SEA Games kemarin kita berada di bawah Malaysia, Vietnam, Thailand, dan Singapura. Secara umum, bisa jadi proxy kekuatan ekonomi.",SEA Games
28,28,28,positive,indonesia is not afraid of sea games in malaysia 2017,sea games,Indonesia tak takut sea games di malaysia 2017,sea games
29,29,29,neutral,"slaves like to eat curds, curd is eaten again and again, oh my malaysia don't be sad, our other sea games ... <url>",sea games,"Budak-budak suka makan dadih, Dadih di makan lagi dan lagi, Oh Malaysiaku janganlah sedih, Sea Games lain kita... http://fb.me/zZ7NAoOL",Sea Games
30,30,30,neutral,there are a number of tackles that are packed and also careless mistake. maybe the best match in this edition of the sea games. the overall consistency.,sea games,ADAM beberapa tackle yg kemas dan juga careless mistake.Mungkin match paling teruknya dalam SEA games edisi kali ini.Kesuluruhan konsisten.,SEA games
31,31,31,neutral,# good morningjogja | kompas: indonesian sports emergency. menpora apologized for the failure of ri at the 2017 sea games,sea games,#SelamatPagiJogja | KOMPAS : Darurat Olahraga Indonesia. Menpora meminta Maaf atas kegagal;an Ri di SEA Games 2017,SEA Games
32,32,32,neutral,"sea games targets not fulfilled, menpora apologizes and responsible <url>",sea games,"Target SEA Games Tak Terpenuhi, Menpora Minta Maaf dan Bertanggung Jawab http://fb.me/8IoCP16iu",SEA Games
33,33,33,neutral,"who won the gold medal at the 2017 sea games until tuesday, august 29? <url> <url>",sea games,"Siapa saja yang berhasil meraih medali emas di SEA Games 2017 hingga Selasa, 29 Agustus? http://s.rplr.co/ePkEE9Y http://pic.twitter.com/VDLjlVEqIx",SEA Games
34,34,34,neutral,"double mixes fail in the sea games, this is said richard mainy <url> <url>",sea games,"Ganda Campuran Gagal di SEA Games , Ini Kata Richard Mainaky http://dlvr.it/PjVsgW http://pic.twitter.com/FDJfMFYiMP",SEA Games
35,35,35,neutral,#tenjodeuilur: those who are still (opportunities) competing in the next sea games! <url> #persib,sea games,#TenjoDeuiLur : Mereka yang Masih (Berkesempatan) Berlaga di SEA Games Selanjutnya ! http://bobotoh.id/baca/mereka-yng-masih-berkesempatan-berlaga-di-sea-games-selanjutnya-  #Persib,SEA Games
36,36,36,neutral,"#sapipost target in 2017 sea games not reached, menpora apologize. the target for marriage is not reached, don't apologize, but ask for a matchmate #ozmatasapi",sea games,"#SAPIPOST Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf. Target nikah jg tak tercapai, jgn minta maaf tp minta jodoh #OZMATASAPI",SEA Games
37,37,37,neutral,do you want a brother sprinter. plis for comeback not when i play sea games,sea games,Gaduh ape ni abang sprinter. Plis buat comeback nk tgok awak main sea games,sea games
38,38,38,neutral,"many injured victims at sea games 2017 malaysia, ada apa: <url> via @youtube",sea games,"Banyak Korban Cedera di Sea Games 2017 Malaysia, Ada Apa: http://youtu.be/wJvKkqDijZI?a via @YouTube",Sea Games
39,39,39,positive,all countries are not afraid of sea games in malaysia 2017,sea games,Semua negara tak takut sama sea games di malaysia 2017,sea games
40,40,40,neutral,"sea games 2017: malaysia champion, indonesia fails to reach target #fajar .net - news #kewangan #komoditi <url>",sea games,"SEA GAMES 2017: Malaysia Juara, Indonesia Gagal Capai Target #fajar .co.id - Berita #Kewangan #Komoditi https://www.dukascopy.com/refpro/in.php?aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9tcy81MDQwNDg5NDI5MzU4OTc0ODA0Lz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRNUw==",SEA GAMES
41,41,41,positive,indonesia is not afraid of malaysia sea games 2017,sea games,Indonesia tak takut malaysia sea games 2017,sea games
42,42,42,neutral,"duh, in the achievement history of indonesia's sea games decreased in the jokowi era <url> <url>",sea games,"Duh, Dalam Sejarah Prestasi SEA Games Indonesia Terpuruk di Era Jokowi http://dlvr.it/PjVqCm http://pic.twitter.com/pd1H1svnys",SEA Games
43,43,43,neutral,"ending with bronze at the 2017 sea games, luis milla thanking supporters <url>",sea games,"Berakhir dengan Perunggu di SEA Games 2017, Luis Milla Ucapkan Terima Kasih kepada Suporter https://goo.gl/fb/gPzjKN",SEA Games
44,44,44,neutral,thailand doesn't like sea games in malaysia 2017,sea games,Thailand sama gak senang sea games di malaysia 2017,sea games
45,45,45,neutral,"conquer myanmar 3-1, u-22 national team bronze bronze sea games 2017 <url> #refresh #morningupdate #garuda",sea games,"Taklukkan Myanmar 3-1, Timnas U-22 Sabet Perunggu SEA Games 2017 http://bit.ly/2xvFltu #Refresh #MorningUpdate #GARUDA",SEA Games
46,46,46,neutral,there is the one who sold the ticket closing ceremony sea games again,sea games,Ada ke yang nak jual ticket closing ceremony sea games lagi,sea games
47,47,47,neutral,"<url> hamdalah, riau taekwondoin donates gold at 2017 sea games #news # exercising",sea games,"http://goo.gl/t8vXH0 Hamdalah, Taekwondoin Asal Riau Sumbang Emas di SEA Games 2017 #news #olahraga",SEA Games
48,48,48,neutral,jk disappointed 2017 sea games results <url> via @wartakotalive,sea games,JK Kecewa Hasil SEA Games 2017 http://wartakota.tribunnews.com/2017/08/30/jk-kecewa-hasil-sea-games-2017  via @wartakotalive,SEA Games
49,49,49,neutral,"concerning sea games results, menpora apologizes <url> via @wartakotalive",sea games,"Hasil SEA Games Memprihatinkan, Menpora Minta Maaf http://wartakota.tribunnews.com/2017/08/30/hasil-sea-games-memprihatinkan-menpora-minta-maaf  via @wartakotalive",SEA Games
50,50,50,negative,"wake up, see the news of malaysia losing to thailand in the final of sea games. hahaha, how come it's delicious?",sea games,"Bangun tidur lihat berita malaysia kalah lawan thailand di final sepak bola sea games . HAHAHA, mang enak?",sea games
51,51,51,neutral,"okezonenews the results of the 2017 sea games are not yet on target, menpora: &amp; 8206; we will evaluate! <url> <url>",sea games,"okezonenews Hasil SEA Games 2017 Belum Sesuai Target, Menpora: &8206;Kita akan Evaluasi! http://okz.me/CYsZF http://pic.twitter.com/BYioffbxLH",SEA Games
52,52,52,neutral,send photos / videos of your support to the indonesian team in the sea games arena! there are prizes awaiting! #gempitaseagames #indonesiajara <url>,sea games,Kirim foto/video dukunganmu untuk Tim Indonesia di arena SEA Games ! Ada hadiah menanti! #GempitaSeaGames #IndonesiaJuara http://pic.twitter.com/KSyNuPSHIq,SEA Games
53,53,53,neutral,indonesia vs myanmar 3-1 sea games 2017! indonesia vs myanmar! myanmar vs indonesia: <url> via @youtube,sea games,INDONESIA VS MYANMAR 3-1 SEA GAMES 2017 ! INDONESIA VS MYANMAR ! MYANMAR VS INDONESIA: http://youtu.be/ZbquyRqJo4g?a via @YouTube,SEA GAMES
54,54,54,neutral,"indonesian athletes collapsed at sea games due to previous government, jokowi brigade: sby must apologize <url>",sea games,"Atlet Indonesia Terpuruk di SEA Games Akibat Pemerintah Sebelumnya, Brigade Jokowi: SBY Harus Minta Maaf http://ow.ly/erat50dJs3k",SEA Games
55,55,55,positive,"no need for us to say haziq nadzli tu, he plays sea games, you? there is? how come the school can't play",sea games,"Tak usah kita nak mengata Haziq Nadzli tu , dia main Sea Games , kau ? ada? tah2 kat skolah pun tak dapat main",Sea Games
56,56,56,neutral,jonatan christie delete men's single dahaga gold at sea games <url> <url>,sea games,Jonatan Christie Hapus Dahaga Emas Tunggal Putra di SEA Games http://dlvr.it/PjVjJb http://pic.twitter.com/kIAvzMO5nL,SEA Games
57,57,57,neutral,"the 2017 sea games results are not yet on target, menpora: &amp; 8206; we will evaluate! <url> <url>",sea games,"Hasil SEA Games 2017 Belum Sesuai Target, Menpora: &8206;Kita akan Evaluasi! http://okz.me/CYsZF http://pic.twitter.com/fNpgBerhjY",SEA Games
58,58,58,positive,"ms blaja, you are in the final competition. not as good as it is, but not the best. same goes to all sea games 2017. congrats malaysia. u did the best!",sea games,"Ms blaja, kau struggle smpi final. Bkn sbb tak cerdik tp nk yg terbaik. Same goes to all SEA games 2017. Congrats Malaysia. U did the best!",SEA games
59,59,59,neutral,yeeyyy thailand wins happy thailand has got gold in sea games soccer :-),sea games,yeeyyy Thailand menang selamat thailand sudah dapat emas di ajang sepakbola sea games :-),sea games
60,60,60,neutral,"sports are wrongly dealt with, indonesia is the country with the largest population, a sluggish achievement in 2017 sea games ...",sea games,"Olah Raga salah di urus, Indonesia negara dengan jumlah penduduk terbesar, prestasi jeblok dalam sea games 2017..",sea games
61,61,61,neutral,highlights goals and opportunities created in the malaysia vs thailand match in the sea games 2017 final. https://m.youtube.com/watch?v=m2qnhx lca0i <url>,sea games,HIGHLIGHTS Goal dan Peluang-peluang yang tercipta di Pertandingan Malaysia vs Thailand di final SEA Games 2017. https://m.youtube.com/watch?v=M2qnHX lCA0I  http://pic.twitter.com/5DrxgMIANA,SEA Games
62,62,62,neutral,"09 okezonenews the results of the 2017 sea games are not yet on target, menpora: &amp; 8206; we will evaluate! <url>",sea games,"09 okezonenews Hasil SEA Games 2017 Belum Sesuai Target, Menpora: &8206;Kita akan Evaluasi!  http://pic.twitter.com/RTEcw99ioJ",SEA Games
63,63,63,neutral,"the target at the 2017 sea games is not reached, menpora apologizes <url> <url>",sea games,"Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf http://dlvr.it/PjVfz8 http://pic.twitter.com/eQhNbHfH2c",SEA Games
64,64,64,neutral,5 indonesian national team players sea games that can be a mainstay at aff 2018 <url> <url>,sea games,5 Pemain Timnas Indonesia SEA Games yang Bisa jadi Andalan di AFF 2018 http://bolabanget.id/teaser/765947/5-pemain-timnas-indonesia-sea-games-yang-bisa-jadi-andalan-di-aff-2018  http://pic.twitter.com/oRvSC2QY8R,SEA Games
65,65,65,neutral,compilation of indonesian sea games u-22 national team goals <url>,sea games,Kompilasi Gol Timnas U-22 Indonesia Sepak Bola Sea Games http://fb.me/1WNKDzI3x,Sea Games
66,66,66,neutral,"after the 2017 sea games, luis milla has a big plan for indonesian football <url> via @bolasportcom",sea games,"Setelah SEA Games 2017, Luis Milla Punya Rencana Besar untuk Sepak Bola Indonesia http://short.bolasport.com/i5Tj6 via @bolasportcom",SEA Games
67,67,67,neutral,1) get 111 gold medals 8/28 2) win the ball 8/29 3) johan overall closing sea games 8/30 4) independence day 31/8,sea games,1) dpt 111 pingat emas 28/8 2) menang bola 29/8 3) johan keseluruhan closing SEA GAMES 30/8 4) Hari Kemerdekaan 31/8,SEA GAMES
68,68,68,neutral,"#sekilasinfogefm 06.00 indonesia *** failed to reach sea games targets, menpora requested to retreat {<url> ? houseads &amp; campaign = seagames2017_home_stm}",sea games,"#SekilasInfoGeFM 06.00 *** Indonesia Gagal Capai Target SEA Games , Menpora Diminta Mundur { http://sea-games.liputan6.com/read/3076065/indonesia-gagal-capai-target-sea-games-menpora-diminta-mundur?HouseAds&campaign=SEAGames2017_Home_STM  }",SEA Games
69,69,69,neutral,"why do you have to open the yellow book again, bro, how come the results of the blog at sea games this time?",sea games,"pa menpora harus buka kitab kuning lagi ning, ko hasilnya jeblog di sea games kali ini?",sea games
70,70,70,neutral,"today the 2017 sea games closing ceremony will be held at bukit jalil national stadium, kuala lumpur, malaysia ...... <url>",sea games,"Hari ini Closing Ceremony Sea Games 2017 akan digelar di Stadion Nasional Bukit Jalil, Kuala Lumpur, Malaysia...... http://fb.me/7Bpmzdvil",Sea Games
71,71,71,neutral,17 jawapos 5 indonesian national team players sea games that can be a mainstay at aff 2018 <url>,sea games,17 jawapos 5 Pemain Timnas Indonesia SEA Games yang Bisa jadi Andalan di AFF 2018 http://jawapos.com/n/154010,SEA Games
72,72,72,neutral,wewey wita princess fighter wins 2017 sea games gold <url> via @mimbarakyat <url>,sea games,Pesilat Putri Wewey Wita Raih Emas SEA Games 2017 https://goo.gl/uq7zER via @MimbaRakyat http://pic.twitter.com/Lsj3qAfh03,SEA Games
73,73,73,neutral,#popular #news list of sea games medal achievements tuesday (29/8) <url> @inilahdotcom/<url>,sea games,#terpopuler #news Daftar Perolehan Medali SEA Games Selasa (29/8) http://dlvr.it/PjVb8W @inilahdotcom/http://pic.twitter.com/x5OzB2SBmW,SEA Games
74,74,74,negative,as long as no under 18 can enter sea games? too late nak register,sea games,asal tak cakap under 18 pun boleh masuk sea games ? too late nak register,sea games
75,75,75,neutral,malaysia vs thailand sea games 2017: <url> via @youtube,sea games,MALAYSIA vs THAILAND SEA GAMES 2017: http://youtu.be/13-Lzr_8ANc?a melalui @YouTube,SEA GAMES
76,76,76,neutral,indonesia vs myanmar 3 - 1 ~ indonesia rebut devotional sea games medal 2017 ball: <url> via @youtube,sea games,INDONESIA VS MYANMAR 3 - 1 ~ INDONESIA REBUT MEDALI PERUNGGU SEA GAMES 2017 SEPAK BOLA: http://youtu.be/ReSij7Mu0ws?a melalui @YouTube,SEA GAMES
77,77,77,neutral,jonatan christie's uploads after getting the 2017 sea games gold medal <url> <url>,sea games,Unggahan Jonatan Christie Setelah Mendapat Medali Emas SEA Games 2017 http://dlvr.it/PjVYGb http://pic.twitter.com/7JL5tehisk,SEA Games
78,78,78,negative,kemenpora 'kiss' the existence of fraud in the sea games 2017 @dreamersradioid #dreamersxmubank <url> app <url>,sea games,Kemenpora 'Cium' Adanya Kecurangan di SEA Games 2017 @DreamersRadioID #DreamersXMubank http://www.dreamers.id/article/65915/kemenpora-cium-adanya-kecurangan-di-sea-games-2017?utm_campaign=aplikasi&utm_medium=artikel&utm_source=app  http://pic.twitter.com/DOZtDZHPV5,SEA Games
79,79,79,neutral,"must read: list of sea games medal achievements tuesday (29/8): sumedang media, jakarta hari <url>",sea games,"must read : Daftar Perolehan Medali SEA Games Selasa (29/8): Sumedang Media, Jakarta  Hari https://goo.gl/fb/XfMdUx",SEA Games
80,80,80,neutral,"today's headline #gmy: target in 2017 sea games not reached, menpora apologize (via: <url>",sea games,"#GMY TODAY'S HEADLINE: Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf (via: https://goo.gl/MYDY4Z )",SEA Games
81,81,81,neutral,here's the fate of luis milla and the u-22 national team after the 2017 sea games <url>,sea games,Begini Nasib Luis Milla dan Timnas U-22 Setelah SEA Games 2017 http://tz.ucweb.com/8_2uB3N,SEA Games
82,82,82,positive,goose bumps see indonesian athletes who get medals at the sea games,sea games,Merinding lihat atlet atlet Indonesia yang dapat medali di Sea Games,Sea Games
83,83,83,neutral,"the target of the sea games misses, menpora gets backward pressure <url> liputan6",sea games,"Target SEA Games Meleset, Menpora Dapat Desakan Mundur http://dlvr.it/PjVVvd LIPUTAN6",SEA Games
84,84,84,negative,by way of lack of sportsmanship rt @bolasportcom: sea games 2017 - malaysia overall champion sea games after (cont) <url>,sea games,dengan cara kurang sportif RT @BolaSportcom : SEA Games 2017 - Malaysia Juara Umum SEA Games Setelah (cont) http://tl.gd/no2p21,SEA Games
85,85,85,negative,by way of lack of sportsmanship rt @bolasportcom: sea games 2017 - malaysia overall champion sea games after (cont) <url>,sea games,dengan cara kurang sportif RT @BolaSportcom : SEA Games 2017 - Malaysia Juara Umum SEA Games Setelah (cont) http://tl.gd/no2p21,SEA Games
86,86,86,neutral,"i added a video to a @youtube playlist <url> 2017 sea games, satria tama statistics beat gianluigi buffon",sea games,"I added a video to a @YouTube playlist http://youtu.be/th7l81MsFOw?a SEA Games 2017, Statistik Satria Tama Kalahkan Gianluigi Buffon",SEA Games
87,87,87,neutral,"new post on my blog: sea games targets not fulfilled, menpora apologizes and responsible <url>",sea games,"New post on my blog: Target SEA Games Tak Terpenuhi, Menpora Minta Maaf dan Bertanggung Jawab http://fb.me/A5s1Yzie",SEA Games
88,88,88,neutral,"i've just posted a new blog: the sea games target is not fulfilled, menpora apologizes and is responsible <url>",sea games,"I've just posted a new blog: Target SEA Games Tak Terpenuhi, Menpora Minta Maaf dan Bertanggung Jawab http://ift.tt/2iHla8M",SEA Games
89,89,89,neutral,"#yoyoindonesia can be ranked 5th in sea games, regular ... indonesia is great",sea games,#AyoIndonesiaBisa peringkat ke 5 sea games wuarrbiasa..indonesia hebat hebot....katanya,sea games
90,90,90,neutral,"conquer malaysia 1-0, thailand win the 2017 sea games men's soccer medal <url> #jakarta <url>",sea games,"Taklukkan Malaysia 1-0, Thailand Rebut Medali Emas Sepakbola Putra SEA Games 2017 http://dlvr.it/PjVRF6 #jakarta http://pic.twitter.com/RcVPQwSWTx",SEA Games
91,91,91,neutral,the first malaysia malaysia fifth in sea games 2017 <url> <url>,sea games,Malaysia Pertama Indonesia Kelima dalam Sea Games 2017 http://bit.ly/2x2yY3d http://pic.twitter.com/JOklSpKQQn,Sea Games
92,92,92,neutral,29th sea games results indonesian football sports 3-1 myanmar malaysia 0-1 thailand thailand becomes champion ... <url>,sea games,Hasil Sea Games ke 29 Cabor Sepak Bola Indonesia 3-1 Myanmar Malaysia 0-1 Thailand Thailand Menjadi Juara... http://fb.me/2dHggbNKl,Sea Games
93,93,93,neutral,what i know is that the closing ceremony of sea games is more to the concert,sea games,Apa yang aku tau closing ceremony sea games ni dia more to concert,sea games
94,94,94,positive,"okay, i can detect which artists will make the closing ceremony sea games on the show, hahaha",sea ​​games,Okey aku dah boleh detect artis-artis mana yg akan buat show dkt closing ceremony sea games nanti hahaha,sea games
95,95,95,neutral,"@info - the target at the 2017 sea games is not reached, menpora apologizes",sea games,"@info - Target di SEA Games 2017 Tak Tercapai, Menpora Minta Maaf",SEA Games
96,96,96,neutral,indonesia's 3 best goals in sea games <url>,sea games,3 gol terbaik indonesia di sea games http://fb.me/8NpIEwtdj,sea games
97,97,97,neutral,"left behind in the first round, this is the key to the success of luis milla can win the bronze sea games 2017 <url>",sea games,"Sempat Tertinggal di Babak Pertama, Ini Kunci Kesuksesan Luis Milla Bisa Raih Perunggu SEA Games 2017 https://twitter.com/i/web/status/902658432221691904",SEA Games
98,98,98,neutral,"left behind in the first round, this is the key to the success of luis milla can win the bronze sea games 2017 <url>",sea games,"Sempat Tertinggal di Babak Pertama, Ini Kunci Kesuksesan Luis Milla Bisa Raih Perunggu SEA Games 2017 http://ift.tt/2gnBQBj",SEA Games
99,99,99,neutral,"hamdalah, riau taekwondoin donates gold at the 2017 sea games | news 24 indonesia <url>",sea games,"Hamdalah, Taekwondoin Asal Riau Sumbang Emas di SEA Games 2017 | Berita 24 Indonesia http://fb.me/1dE7QiaSA",SEA Games
100,100,100,neutral,malaysia goalkeeper blunder for thailand to win sea games gold <url>,sea games,Blunder Kiper Malaysia Buat Thailand Raih Emas SEA Games http://fb.me/1q9K2sWiG,SEA Games
101,101,101,neutral,"hamdalah, riau taekwondoin donates gold at the 2017 sea games <url>",sea games,"Hamdalah, Taekwondoin Asal Riau Sumbang Emas di SEA Games 2017 http://www.jpnn.com/news/hamdalahtaekwondoin-asal-riau-sumbang-emas-di-sea-games-2017",SEA Games
102,102,102,neutral,"okezonenews got left behind in the first round, this is the key to the success of luis milla can win the bronze sea games 2017 <url>",sea games,"okezonenews Sempat Tertinggal di Babak Pertama, Ini Kunci Kesuksesan Luis Milla Bisa Raih Perunggu SEA Games 2017 https://twitter.com/i/web/status/902658432221691904",SEA Games
103,103,103,neutral,"okezonenews only won 2 gold, the first time indonesia failed to win the general in sea games badminton sports <url>",sea games,"okezonenews Hanya Raih 2 Emas, Pertama Kalinya Indonesia Gagal Juara Umum di Cabor Bulu Tangkis SEA Games  https://twitter.com/i/web/status/902655902523711488",SEA Games
104,104,104,neutral,"09 okezonenews left behind in the first round, this is the key to the success of luis milla can win the bronze sea games 20 <url>",sea games,"09 okezonenews Sempat Tertinggal di Babak Pertama, Ini Kunci Kesuksesan Luis Milla Bisa Raih Perunggu SEA Games 20 https://twitter.com/i/web/status/902658432221691904",SEA Games
105,105,105,neutral,"hamdalah, riau taekwondoin donates gold at the sea games 2017 # seagames2017 <url>",sea games,"Hamdalah, Taekwondoin Asal Riau Sumbang Emas di SEA Games 2017 #SEAGames2017 http://jpnn.com/news/hamdalah-aekwondoin-asal-riau-sumbang-emas-di-sea-games-2017",SEA Games
106,106,106,neutral,flashback of the indonesian national team's long way to win bronze at sea games 2017 (slide show): <url> via @youtube,sea games,Kilas Balik Jalan Panjang Timnas Indonesia Meraih Perunggu di Sea Games 2017 (Slide Show): http://youtu.be/Fm6CDZ0JEFA?a melalui @YouTube,Sea Games
