,Username,Keyword,Tweet,Sentiment,Overal Sentiment,Unnamed: 5
40,celestialrandy,Fahri Hamzah,Fahri Hamzah Ragukan Kemampuan 10 Capim KPK http://dlvr.it/fSzkM,Neutral,neutral,
41,celestialrandy,Fahri Hamzah,Fahri Hamzah : Pemilih PKS Memang Gampang Tidak Puas http://dlvr.it/XtLlR,Neutral,,
42,celestialrandy,Islam,hoamRT @ardinsyh : Masa seng?-____-RT @celestialran7x : AnjirRT @ardinsyh : @celestialran7x agama kaka kan islam protestan kan?-_____-,Negative,leanly opposing,
43,celestialrandy,Islam,Ga -_-RT @celestialran7x : AnjirRT @ardinsyh : @celestialran7x agama kaka kan islam protestan kan?-_____-,Negative,,
44,celestialrandy,Islam,AnjirRT @ardinsyh : @celestialran7x agama kaka kan islam protestan kan?-_____-,Negative,,
45,celestialrandy,Islam,"Aku juga baru tau #eh "" @ardinsyh : @celestialran7x emang kakanya islam ? Baru tau=D""",Positive,,
46,celestialrandy,Islam,Haha apaiya?:p RT @PuspitaaSR : Kan dari nama kaya non loh makany tny heheRT @celestialran7x : Yaelah pada tanya aku islam apa bukan ._. Islam,Neutral,,
47,celestialrandy,Islam,Yaelah pada tanya aku islam apa bukan ._. Islam kok yaawloh RT @PuspitaaSR : Udh les udh km si islam bkn?RT @celestialran7x : Sholat dit shola,Neutral,,
48,celestialrandy,Islam,FPI Obrak-Abrik Warung Makan: Front Pembela Islam (FPI) kembali merazia sejumlah warung makan yang masih berjual... http://bit.ly/nGVbgN,Negative,,
49,celestialrandy,Islam,"Maribeth Sering Ikut Puasa: Meski bukan pemeluk agama Islam , Maribeth mengaku senang dengan suasana Ramadan di ... http://bit.ly/qBSUJt",Neutral,,
50,celestialrandy,Islam,Burhanuddin Muhtadi Kecewakan Wartawan: Pengamat politik asal Universitas Islam Negeri (UIN) Syarif Hidayatulla... http://bit.ly/qf8SOm,Negative,,
51,celestialrandy,Islam,Hasyim Muzadi: Negara Islam Hanya Alternatif http://dlvr.it/fnQ4s,Neutral,,
52,celestialrandy,Islam,BNPT Gandeng Organisasi Islam Kampanyekan Deradikalisasi Pelaku Teror http://dlvr.it/fl4w4,Neutral,,
53,celestialrandy,Islam,Syarifuddin Bukan Dosen Universitas Islam Sumut: Syarifuddin merupakan alumnus Fakultas Hukum Universitas Islam ... http://bit.ly/oNuhaB,Neutral,,
54,celestialrandy,Islam,"Sebar Agama Islam , Keraton Solo Buat Alquran Jawa: Penyebaran agama Islam di Indonesia, khususnya Jawa Tengah, j... http://bit.ly/nrvfZg",Positive,,
55,celestialrandy,Kristen,Hehe RT @deanhh : Bener kok kata teman kaka :D RT @celestialran7x : Iya haha RT @deanhh : Kristen apaan sih kak? Agama (cont) http://t.co/oWwBg,Neutral,leanly opposing,
56,celestialrandy,Kristen,Tuhkan_- RT @HamimaNH : Kata aku juga.RT @celestialran7x : kata ani mukaku muka kristen _-,Neutral,,
57,celestialrandy,Kristen,Robert Pattinson Ingin 1 Film Lagi dengan Kristen : Nama Robert Pattinson  &  Kristen Stewart melambung setelah di... http://bit.ly/oDx1cv,Neutral,,
58,celestialrandy,Kristen,Miris! Siswa Kristen Ketapang Belajar di Bengkel Mobil http://dlvr.it/ZjhVK,Negative,,
59,celestialrandy,Kristen,"Inilah agama yang paling benar: Apa agama yang paling benar di dunia ini? Apakah agama Kristen , agama Islam, aga... http://bit.ly/mGWlvo",Neutral,,
60,celestialrandy,Kristen,Mayat-Mayat Korban Pembantaian Kristen Nigeria Kembali Ditemukan: Polisi Nigeria mengeluarkan delapan mayat yang... http://bit.ly/iPQGmI,Negative,,
61,celestialrandy,Hindu,"Jejak Perkampungan Muslim Suku Sasak di Bali: Meski mayoritas penduduknya beragama Hindu , namun Islam juga... http://tinyurl.com/3gy2p8u",Neutral,neutral,
62,celestialrandy,Hindu,"Kembali Bersyukur Kepada Sang Pencipta: Ribuan umat Hindu di Bali, Rabu 6/7/2011 pagi, merayakan Hari Raya Galun... http://bit.ly/on3l3e",Neutral,,
63,celestialrandy,Buddha,"Ini Alasan Richard Gere ke Borobudur: Sebagai penganut agama Buddha , kedatangan aktor Hollywood Richard Gere ke ... http://bit.ly/lONjjQ",Neutral,neutral,
64,celestialrandy,Cina,#CR7X Mode On .. Model Seksi Dari Cina Gan Lulu http:// bit.ly/KmLiLe,Neutral,leanly opposing,
65,celestialrandy,Cina,#CR7X Pengobatan api dari cina http:// bit.ly/KLF7lc,Neutral,,
66,celestialrandy,Cina,#CR7X Babi Berwajah Monyet di Cina http:// bit.ly/JPzhNr,Neutral,,
67,celestialrandy,Cina,hahahaha jawa aja :P RT @DheaMA : Cina ? Mending esia deh -_- RT @celestialran7x : iPhone cina ?hahaha RT DheaMA: Do'ain gw lempar bb dpt,Negative,,
68,celestialrandy,Cina,iPhone cina ?hahaha RT @DheaMA : Do'ain gw lempar bb dpt nya iPhone :3 RT @celestialran7x : Lempar aja :p RT DheaMA: Lah dikasih malah gamau -_,Neutral,,
69,celestialrandy,Cina,banyak banget yang ngira gw nonislam sama cina -_-,Negative,,
70,celestialrandy,Cina,Aku dipaksa ngaku kalo aku org cina sm bu mus ._. RT @MoehAzzam: Wkwk dpggl buk moes ya? Hahaha :D @celestialran7x,Negative,,
71,celestialrandy,Cina,Kamu RT @kikaracheel : kamu cinaRT @celestialran7x : Pagi cina RT @kikaracheel : Pagi ^^,Negative,,
72,celestialrandy,Cina,Pagi cina RT @kikaracheel : Pagi ^^,Neutral,,
73,celestialrandy,Cina,hp cina merajalela,Negative,,
74,celestialrandy,Cina,KRL Ekonomi Berasap di Stasiun Pondok Cina http://dlvr.it/ctrrx,Neutral,,
75,celestialrandy,Cina,Imigrasi Batam Razia Pekerja Asing Ilegal: Petugas Imigrasi Batam merazia pekerja asing asal Cina yang diduga b... http://bit.ly/rmvIuY,Negative,,
76,celestialrandy,Tionghoa,"RT @JogjaUpdate : #jogja @myfeni : 2-6/2/2012 17.00-22.00 Pekan Budaya Tionghoa Yk, di Ketandan-Malioboro. 6/2/2012 18... http:// 3n6c3.mnt.bz",Neutral,neutral,
77,celestialrandy,Tionghoa,Kue Bulan Musim Semi: Kue bulan yang menjadi panganan tradisional khas Tionghoa merupakan sajian wajib pada pera... http://bit.ly/q0PRfm,Neutral,,
78,celestialrandy,Indonesia,I liked a @YouTube video http:// youtu.be/KtPpM6WiLFE?a Londokampung Dipermalukan Di Atas Panggung Sama Orang Indonesia ! (Youtube FanFest,Positive,completely supportive,
79,celestialrandy,Indonesia,I liked a @YouTube video http:// youtu.be/VSNiQsuM8Mg?a BAHASA INGGRIS RASA INDONESIA,Positive,,
80,celestialrandy,Indonesia,Serasa dikawal pak pol haha #indonesia #instanusantara #police http:// instagr.am/p/MczqymQ1PR/,Negative,,
81,celestialrandy,Indonesia,"HahahaRT @mahoccino: Hayooo!"" @detikcom : 6 Gaya Malu-malu Orang Indonesia Saat Beli Kondom http:// de.tk/gJwkY via @detikhealth """,Neutral,,
82,celestialrandy,Indonesia,"RT @soal_gadget : 1001 alasan kenapa Blackberry "" Hanya laku "" di Indonesia ?: http:// po.st/b4ZrVv",Positive,,
83,celestialrandy,Indonesia,#CR7X Foto: Top 9 DJ Cewek Paling Hot  &  Cantik di Indonesia http:// bit.ly/KznTaf,Positive,,
84,celestialrandy,Indonesia,"#CR7X Jepang vs Inggris vs Indonesia , siapa yang paling maju? http:// bit.ly/KfgXOy",Neutral,,
85,celestialrandy,Indonesia,"#CR7X Bikin Malu ""Di Indonesia Setan Setan Mulai Kurang Kerjaan"" http:// bit.ly/KDqHRL",Negative,,
86,celestialrandy,Indonesia,#CR7X Indonesia Rangking 4 Negara Terindah di Dunia http:// bit.ly/KLZFXS,Positive,,
87,celestialrandy,Indonesia,#CR7X Foto dan Info Tim Indonesia di Piala dunia 1938 http:// bit.ly/JZJDco,Positive,,
88,celestialrandy,Indonesia,#CR7X Film-film Asing Yang Membawa Unsur Indonesia http:// bit.ly/K09zW7,Positive,,
89,celestialrandy,Indonesia,#CR7X hotel-hotel unik yang ada di Indonesia http:// bit.ly/JqFxeR,Positive,,
90,celestialrandy,Indonesia,#CR7X Fakta Unik Angka-Bilangan di Indonesia http:// bit.ly/JrLRo3,Positive,,
91,celestialrandy,Indonesia,"RT @LintasME : Menghina Indonesia , Radio di Indonesia Boikot Lagu Milik Justin Bieber http:// bit.ly/IGMTJk",Positive,,
92,celestialrandy,Malaysia,TINGGAL DIMAKAN AJART @DuniaTahu : Di Malaysia pocong disebut dengan nama Hantu Bungkus.,Neutral,completely opposing,
93,celestialrandy,Malaysia,kwk RT @HeyItsZoey_A7X: hahaha songong malingsia RT @celestialran7x : indonesia udah kebanyakan emas jadi agak sedikit ngalah buat malaysia y,Negative,,
94,celestialrandy,Malaysia,indonesia udah kebanyakan emas jadi agak sedikit ngalah buat malaysia yg baru dapet emas dikit,Negative,,
95,celestialrandy,Malaysia,gatau hehe RT @argcargv : @AlfianPrayanta @celestialran7x coba baca yg keterangan trending Good Bye Vietnam deh.... kok Malaysia beat Vietnam,Negative,,
96,celestialrandy,Malaysia,AYO INDONESIA BANTAY MALAYSIA !!,Negative,,
97,celestialrandy,Malaysia,"Lat band hehe ah males aku liat malaysia wi ._. RT @dwiwiwiwiwiiii: Emg hbis darimana ran? Lagi nton badminton nih ran, sumpah geregetan bgt",Negative,,
98,celestialrandy,Malaysia,RT @Cyndaaap: Tl nya @mALAYsia _jaya ngespam bener dah.kalo gamau mentionan orang indonesia maki2 lo.gausah nyari masalah.,Negative,,
99,celestialrandy,Malaysia,"dlm bahasa Malaysia , kementrian agama disebut jg dng kementrian tak berdosa http:// heello.me/44vql",Neutral,,
100,celestialrandy,Malaysia,"di malaysia angkatan darat disebut ""Laskar Hentak Tanah"" http:// heello.me/44pmw",Neutral,,
101,celestialrandy,Malaysia,"10 Artis Malaysia Paling Cantik dan Panas: dirilis oleh situs TheRichest.org, anda bebas untuk tidak setuju, 1-... http:// bit.ly/ojL3wn",Positive,,
102,celestialrandy,Malaysia,Istri Nazaruddin Diduga Berada di Malaysia http://dlvr.it/ftQZp,Neutral,,
103,celestialrandy,Malaysia,Nazaruddin Minta Pesawat Mampir ke Malaysia Jenguk Keluarganya http://dlvr.it/ftMvY,Neutral,,
104,celestialrandy,Malaysia,"\\""Bocah Kecil Juga Merampok Saya\\"": Mahasiswa Malaysia yang menjadi kerusuhan dan penjarahan di Inggris, mence... http://bit.ly/qD7jeH",Negative,,
105,celestialrandy,Malaysia,"TKW Tewas Dimutilasi di Malaysia : Seorang tenaga kerja Indonesia (TKI) diketahui bernama Suramlah Nidin (35), d... http://bit.ly/qbqybU",Negative,,
106,celestialrandy,Malaysia,Pekerja Taruh Ular Piton di Rumah Bosnya: Ulah iseng seorang karyawan yang ingin menakuti bosnya di Malaysia ber... http://bit.ly/qUB0Rd,Negative,,
107,celestialrandy,Singapura,@OjoNesu juga lagi di singapura ya?,Neutral,leanly towards supportive,
108,celestialrandy,Singapura,Patrialis Benarkan Pelarian Nazaruddin Dibantu WN Singapura http://dlvr.it/fwDjV,Positive,,
109,celestialrandy,Singapura,Syarifuddin Pernah Pelesiran ke Malaysia dan Singapura : Teka-teki paspor atas nama Syarifuddin yang bisa berada ... http://bit.ly/rpLyXn,Neutral,,
110,celestialrandy,Singapura,"Paspor Syarifuddin Hanya Digunakan ke Singapura  &  Malaysia, Tidak ke AS http://dlvr.it/fdR0J",Neutral,,
111,celestialrandy,Singapura,Tim PD yang Temui Nazaruddin di Singapura Dituding Telah Bohongi Rakyat http://dlvr.it/fbLD1,Neutral,,
112,celestialrandy,Singapura,Lika-liku Pelarian Nazaruddin: Dari Singapura Hingga Kolombia http://dlvr.it/fKTDL,Neutral,,
113,celestialrandy,Singapura,Sutan Bhatoegana: Paspor Palsu Nazaruddin Mungkin dibuat di Singapura http://dlvr.it/fKFw6,Negative,,
114,celestialrandy,Singapura,LSI: KPK Boleh Bubar Bila Indeks Korupsi RI Sebagus Singapura http://dlvr.it/fCPD0,Positive,,
115,celestialrandy,Singapura,Saksi Akui Rendy Beli iPad di Singapura Saat Liburan http://dlvr.it/dVhNP,Neutral,,
116,celestialrandy,Singapura,Tasya Terkantuk Nonton Harry Potter: Penyanyi Tasya mengaku terkntuk saat nonton film Harry Potter di Singapura .... http://bit.ly/nDT3IQ,Neutral,,
117,celestialrandy,Singapura,Heboh Hantu Suami Istri di Rel Kereta Api: Warga Singapura kini dihebohkan dengan munculnya foto yang menggamba... http://bit.ly/pKfq8w,Neutral,,
118,celestialrandy,Singapura,Wapres Boediono  &  Menhan Singapura Diskusi Soal Pertahanan http://dlvr.it/ckM56,Neutral,,
119,celestialrandy,Singapura,Wapres Terima Kunjungan Menhan Singapura http://dlvr.it/cjYfR,Positive,,
120,celestialrandy,Singapura,"Singapura , Negara Terbesar Berinvestasi di RI: BKPM mengungkapkan realisasi Penanaman Modal Asing (PMA) berdasa... http://bit.ly/oOltNf",Positive,,
121,celestialrandy,Filipina,#CR7X Kisah superman ndeso dari Filipina http:// bit.ly/L8jTfV,Neutral,leanly opposing,
122,celestialrandy,Filipina,"Pengusiran Istri Umar Patek Tunggu Hasil Pemeriksaan: Meski berkewarganegaraan Filipina , istri Umar Patek, mengg... http://bit.ly/nakytC",Neutral,,
123,celestialrandy,Filipina,Umar Patek Datang Bersama Istrinya WN Filipina http://dlvr.it/fnwqN,Neutral,,
124,celestialrandy,Filipina,Pemberontak Mindanao Ingin Bentuk Negara Sendiri: Kesepakatan untuk mengakhiri konflik antara Filipina dan pembe... http://bit.ly/p3d0dY,Negative,,
125,celestialrandy,Filipina,8 Monster Menakutkan Di Filipina : 8. Aswangaswang mungkin adalah Monster yang paling umum Filipina . Secara umum... http://bit.ly/q2mbxw,Negative,,
126,celestialrandy,Filipina,"Dua Badai Tropis Landa Filipina , Lebih dari 70 Tewas: Hampir sepekan dua badai tropis menerjang Filipina . Badai ... http://bit.ly/nARpIP",Neutral,,
127,celestialrandy,Filipina,Militan Filipina Pancung 2 Marinir: Militan Abu Sayyaf di Filipina memenggal kepala dua dari tujuh marinir yang ... http://bit.ly/qokbGL,Negative,,
128,celestialrandy,Filipina,Hongkong dan Filipina Pastikan Nazaruddin Tak Ada di Negaranya http://dlvr.it/bfcxt,Neutral,,
129,celestialrandy,Filipina,"Warga Filipina Anggap Menikah Ketinggalan Zaman: PUTRICANDRAMIDI - Pernikahan sebagai sebuah institusi, kehilan... http://bit.ly/psYwJ7",Neutral,,
130,celestialrandy,Filipina,Maribeth-Christian Bautista Adu Akting di 'Autis': Dua penyanyi Filipina Maribeth dan Christian Bautista kini m... http://bit.ly/nQn0qt,Neutral,,
131,celestialrandy,Filipina,Firdaus Ahli Bom  &  Latihan di Filipina Bareng Imam Samudera http://dlvr.it/bG7nh,Neutral,,
132,celestialrandy,Amerika,#CR7X Misteri 10 Angka Sial (13) Pada Lambang Amerika Serikat http:// bit.ly/K8sr4J,Neutral,leanly opposing,
133,celestialrandy,Amerika,#CR7X Shasa Grey Berhenti dari Bintang Porno Amerika http:// bit.ly/JPsrHi,Neutral,,
134,celestialrandy,Amerika,#CR7X Inilah Wanita Paling Beruntung Sedunia!!!: Unik tapi Nyata -Seorang wanita asal Amerika Serikat menang lot... http:// bit.ly/KHAZn8,Neutral,,
135,celestialrandy,Amerika,pada masa perang dingin soekarno adalah musuh no.1 amerika serikat di kawasan asia tenggara http:// heello.me/44ql4,Negative,,
136,celestialrandy,Amerika,Kutukan Perang Afghanistan: Kelompok militan Taliban menyalahkan krisis ekonomi Amerika Serikat (AS) dan kerusu... http:// bit.ly/oNNXwD,Neutral,,
137,celestialrandy,Amerika,"Senator AS: Demokrasi Kembali di Thailand: Senator Amerika Serikat (AS) Jim Webb menyatakan, Thailand kembali ke... http:// bit.ly/qlP4bf",Neutral,,
138,celestialrandy,Amerika,"Melihat Kesetiaan Cewek dari Warna Rambutnya: Bila orang Amerika lebih menyukai wanita berambut blonde, maka ora... http:// bit.ly/qTfW7k",Neutral,,
139,celestialrandy,Amerika,"Wisata Murah di Negeri Paman Sam: Kemana Anda akan berlibur saat lebaran nanti. Bila pilihan jatuh ke Amerika , ... http:// bit.ly/r4PF7j",Neutral,,
140,celestialrandy,Amerika,"Pesawat Nazaruddin Mampir di Maladewa dan Kenya: Pesawat carteran asal Amerika Serikat, Gulfstream G550, yang me... http:// bit.ly/pa46ZI",Neutral,,
141,celestialrandy,Amerika,AS Siapkan Pesawat Angkasa Jenis Baru: Amerika Serikat (AS) sedang menyiapkan pesawat angkasa jenis baru bernama... http:// bit.ly/oF0UwK,Neutral,,
142,celestialrandy,Amerika,"Eks Marinir AS Akan Disuntik Mati: Mantan marinir Amerika Serikat (AS) Anthony Sowell, yang membunuh 11 orang p... http:// bit.ly/pfVyyl",Negative,,
143,celestialrandy,Amerika,"Teknologi QR Code di AS 'Laris Manis': Di Amerika Serikat (AS), penggunaan teknologi Quick Response (QR) Code cu... http:// bit.ly/pP8UXg",Neutral,,
144,celestialrandy,Amerika,Studi: 168 Bocah Pakistan Tewas Akibat Serangan AS: Serangan pesawat pengebom tak berawak milik Amerika Serikat ... http://bit.ly/qRS2qR,Negative,,
145,celestialrandy,Al Qaeda,Pimpinan Al Qaeda Yaman Tewas dalam Pertempuran: Militer Yaman mengklaim bahwa pemimpin Al Qaeda Semenanjung Ara... http://bit.ly/pF45rr,Negative,neutral,
146,celestialrandy,Al Qaeda,Pimpinan Al Qaeda Selamat Gara-Gara Jet Tempur AS Rusak: Pasukan Amerika Serikat (AS) hampir saja menewaskan pem... http://bit.ly/qLVvCK,Positive,,
147,celestialrandy,Al Qaeda,"Densus Temukan Dokumen \\\\\\\\""Seni Merekrut Al Qaeda \\\\\\\\"": Tim Densus 88 Mabes Polri menemukan sejumlah do... http://bit.ly/ofLVkw",Neutral,,
148,celestialrandy,Al Qaeda,Militer Temukan Jenazah Anggota Al Qaeda : Jenazah anggota gerilyawan Al Qaeda Afrika Utara AQIM yang tewas dala... http://bit.ly/jAnSTo,Neutral,,
149,celestialrandy,Al Qaeda,"Obama: Al Qaeda Dalam Tekanan Besar: Barack Obama, Rabu, mengatakan, informasi yang disita dalam penggerebekan y... http://bit.ly/irFGFm",Neutral,,
150,celestialrandy,MMI,Mazda Punya Driver Baru: Mazda Motor Indonesia ( MMI ) melakukan pergantian pimpinan dimana Presiden Direktur saat... http://bit.ly/qHCA0k,Neutral,neutral,
151,celestialrandy,Saddam Hussein,#CR7X Koleksi Senjata Milik Saddam Hussein Yang Terbuat Dari Emas http:// bit.ly/Jwam1Y,Neutral,neutral,
152,celestialrandy,HTI,"Lakpesdam NU Tolak HTI Jadi Parpol: Ahmad Fawaid Syadzili menuturkan, HTI tidak pantas menjadi parpol. Sebab HTI ... http://bit.ly/lPTQ3w",Negative,leanly opposing,
153,celestialrandy,HTI,Macet Bubaran HTI di Lebak Bulus Mengular ke Ciputat http://dlvr.it/YFJSz,Neutral,,
154,celestialrandy,HTI,"Massa HTI Bubar, Lebak Bulus Macet http://dlvr.it/YFC5P",Neutral,,
155,celestialrandy,HTI,HTI Dukung Fatwa Haram Pengiriman TKW ke Luar Negeri http://dlvr.it/YFC4t,Negative,,
156,celestialrandy,HTI,HTI Tolak Rencana Fatwa Haram BBM Bersubsidi http://dlvr.it/YDstg,Negative,,
157,celestialrandy,HTI,Ribuan Massa HTI Hadiri Peringatan Isra Mi'raj di Stadion Lebak Bulus http://dlvr.it/YDPWZ,Neutral,,
158,celestialrandy,FPI,Mabes Polri Melarang FPI Sweeping Rumah Makan: Sebelumnya massa FPI telah mengobrak-abrik dua warung makan yang ... http:// bit.ly/nnaiWQ,Negative,leanly opposing,
159,celestialrandy,FPI,Polisi Tetapkan Pimpinan FPI Makassar Jadi Tersangka http:// dlvr.it/g9f0x,Negative,,
160,celestialrandy,FPI,Massa FPI Rusak Sekretariat Ahmadiyah di Makassar: Aksi penyerangan ini diduga dipicu salah paham. Massa FPI men... http:// bit.ly/oOXWwc,Negative,,
161,celestialrandy,FPI,Massa FPI Serang Sekretariat Ahmadiyah di Makassar http:// dlvr.it/g5hm5,Negative,,
162,celestialrandy,FPI,FPI Obrak-Abrik Warung Makan: Front Pembela Islam ( FPI ) kembali merazia sejumlah warung makan yang masih berjual... http://bit.ly/nGVbgN,Negative,,
163,celestialrandy,FPI,Massa FPI Sulsel Obrak-abrik Warung Coto Makassar http://dlvr.it/fKFvp,Negative,,
164,celestialrandy,FPI,Sweeping FPI Diwarnai Kericuhan: Aksi sweeping atau penyisiran tempat hiburan malam yang dilakukan dini hari ta... http://bit.ly/orftFM,Negative,,
165,celestialrandy,FPI,"FPI : Demokrat Sarang Koruptor!: Selain menuntut pembubaran Ahmadiyah, unjuk rasa FPI di Istana Presiden juga men... http://bit.ly/pEFzZ1",Negative,,
166,celestialrandy,FPI,FPI Tuntut Keppres Pembubaran Ahmadiyah: FPI menuntut Presiden Susilo Bambang Yudhoyono segera mengeluarkan Kepu... http://bit.ly/qQLEQg,Neutral,,
167,celestialrandy,FPI,"Demo FPI Rampung, Arah Bundaran HI  &  Harmoni Macet http://dlvr.it/d7pB8",Neutral,,
168,celestialrandy,FPI,"Demo FPI , Jl Merdeka Utara  &  Merdeka Barat Dibuka Tutup http://dlvr.it/d7hLs",Neutral,,
169,celestialrandy,FPI,"Massa FPI Membeludak, Jalan Depan Istana Sempat Ditutup: Ribuan anggota Front Pembela Islam ( FPI ) menggelar aksi... http://bit.ly/o1HZ9q",Neutral,,
170,celestialrandy,FPI,"Kapolda Metro Temui Pimpinan FPI : Kapolda Metro Jaya, Irjen Untung Suharsono Radjab, melakukan pertemuan dengan ... http://bit.ly/nSsqUs",Neutral,,
