[line: 164] Namespace(C1=0.1, C2=0.001, adjust_every=8, arch='ParseGCNNSent', batch_size=32, clip_norm=3, config='cfgs/config_parse_gcnn_glove.yaml', data_path='data/generated_data/', dic_path='data/generated_data/vocab/dict.pkl', dropout=0.5, e=False, elmo_config_file='../data/Elmo/elmo_2x4096_512_2048cnn_2xhighway_options.json', elmo_weight_file='../data/Elmo/elmo_2x4096_512_2048cnn_2xhighway_weights.hdf5', embed_dim=300, embed_num=5091, embed_path='data/generated_data/vocab/local_emb.pkl', epoch=30, exp_name='parse_gcnn_glove', finetune_embed=False, if_gpu=True, if_replace=False, if_reset=True, if_update_embed=True, is_stanford_nlp=True, k_fold=6, l2=0.001, l_dropout=0.1, l_hidden_size=256, l_num_layers=2, load_path='', log_path='data/logs/', lr=0.0005, mask_dim=50, model_path='data/models/', opt='Adam', pretrained_embed_path='../data/glove.840B.300d.txt', print_freq=10, snapshot_dir='checkpoints/', test_path='data/generated_data/Restaurants_Test_Gold.xml.pkl', train_path='data/generated_data/train.pkl', training=True, use_gpu=True, valid_path='data/generated_data/valid.pkl')
[line: 168] config           cfgs/config_parse_gcnn_glove.yaml
[line:  98] i_iter 26/93 cls_loss: 0.949886
[line:  98] i_iter 27/93 cls_loss: 0.967520
[line:  98] i_iter 28/93 cls_loss: 0.977578
[line:  98] i_iter 29/93 cls_loss: 0.973501
[line:  98] i_iter 31/93 cls_loss: 0.975675
[line:  98] i_iter 32/93 cls_loss: 0.993092
[line:  98] i_iter 33/93 cls_loss: 0.989393
[line:  98] i_iter 34/93 cls_loss: 0.983655
[line:  98] i_iter 35/93 cls_loss: 0.969109
[line:  98] i_iter 36/93 cls_loss: 0.964878
[line:  98] i_iter 37/93 cls_loss: 0.939520
[line:  98] i_iter 38/93 cls_loss: 0.931909
[line:  98] i_iter 39/93 cls_loss: 0.934341
[line:  98] i_iter 41/93 cls_loss: 0.946063
[line:  98] i_iter 42/93 cls_loss: 0.949170
[line:  98] i_iter 43/93 cls_loss: 0.931873
[line:  98] i_iter 44/93 cls_loss: 0.908513
[line:  98] i_iter 45/93 cls_loss: 0.906373
[line:  98] i_iter 46/93 cls_loss: 0.924022
[line:  98] i_iter 47/93 cls_loss: 0.930768
[line:  98] i_iter 48/93 cls_loss: 0.918956
[line:  98] i_iter 49/93 cls_loss: 0.916784
[line:  98] i_iter 51/93 cls_loss: 0.885610
[line:  98] i_iter 52/93 cls_loss: 0.860725
[line:  98] i_iter 53/93 cls_loss: 0.889760
[line:  98] i_iter 54/93 cls_loss: 0.900389
[line:  98] i_iter 55/93 cls_loss: 0.875776
[line:  98] i_iter 56/93 cls_loss: 0.852711
[line:  98] i_iter 57/93 cls_loss: 0.849960
[line:  98] i_iter 58/93 cls_loss: 0.854310
[line:  98] i_iter 59/93 cls_loss: 0.879596
[line:  98] i_iter 61/93 cls_loss: 0.873532
[line:  98] i_iter 62/93 cls_loss: 0.879256
[line:  98] i_iter 63/93 cls_loss: 0.863682
[line:  98] i_iter 64/93 cls_loss: 0.874882
[line:  98] i_iter 65/93 cls_loss: 0.889229
[line:  98] i_iter 66/93 cls_loss: 0.874705
[line:  98] i_iter 67/93 cls_loss: 0.871793
[line:  98] i_iter 68/93 cls_loss: 0.888828
[line:  98] i_iter 69/93 cls_loss: 0.843857
[line:  98] i_iter 71/93 cls_loss: 0.836918
[line:  98] i_iter 72/93 cls_loss: 0.823611
[line:  98] i_iter 73/93 cls_loss: 0.821944
[line:  98] i_iter 74/93 cls_loss: 0.786136
[line:  98] i_iter 75/93 cls_loss: 0.792193
[line:  98] i_iter 76/93 cls_loss: 0.795537
[line:  98] i_iter 77/93 cls_loss: 0.806726
[line:  98] i_iter 78/93 cls_loss: 0.769043
[line:  98] i_iter 79/93 cls_loss: 0.776103
[line:  98] i_iter 81/93 cls_loss: 0.784431
[line:  98] i_iter 82/93 cls_loss: 0.798538
[line:  98] i_iter 83/93 cls_loss: 0.784719
[line:  98] i_iter 84/93 cls_loss: 0.803655
[line:  98] i_iter 85/93 cls_loss: 0.816006
[line:  98] i_iter 86/93 cls_loss: 0.831879
[line:  98] i_iter 87/93 cls_loss: 0.806576
[line:  98] i_iter 88/93 cls_loss: 0.831871
[line:  98] i_iter 89/93 cls_loss: 0.844888
[line:  98] i_iter 91/93 cls_loss: 0.801953
[line:  98] i_iter 92/93 cls_loss: 0.778892
[line: 121] Evaluting
[line: 102] epoch 0, Validation acc: 0.6339434276206323
[line: 121] Evaluting
[line: 112] epoch 0, Test acc: 0.6830357142857143
[line:  98] i_iter 1/93 cls_loss: 0.758143
[line:  98] i_iter 2/93 cls_loss: 0.726949
[line:  98] i_iter 3/93 cls_loss: 0.704753
[line:  98] i_iter 4/93 cls_loss: 0.699806
[line:  98] i_iter 5/93 cls_loss: 0.685379
[line:  98] i_iter 6/93 cls_loss: 0.688669
[line:  98] i_iter 7/93 cls_loss: 0.692172
[line:  98] i_iter 8/93 cls_loss: 0.723233
[line:  98] i_iter 9/93 cls_loss: 0.730957
[line:  98] i_iter 11/93 cls_loss: 0.736325
[line:  98] i_iter 12/93 cls_loss: 0.743993
[line:  98] i_iter 13/93 cls_loss: 0.740571
[line:  98] i_iter 14/93 cls_loss: 0.758031
[line:  98] i_iter 15/93 cls_loss: 0.766587
[line:  98] i_iter 16/93 cls_loss: 0.748740
[line:  98] i_iter 17/93 cls_loss: 0.747481
[line:  98] i_iter 18/93 cls_loss: 0.731592
[line:  98] i_iter 19/93 cls_loss: 0.740316
[line:  98] i_iter 21/93 cls_loss: 0.714372
[line:  98] i_iter 22/93 cls_loss: 0.709979
[line:  98] i_iter 23/93 cls_loss: 0.738269
[line:  98] i_iter 24/93 cls_loss: 0.728226
[line:  98] i_iter 25/93 cls_loss: 0.703662
[line:  98] i_iter 26/93 cls_loss: 0.695242
[line:  98] i_iter 27/93 cls_loss: 0.694699
[line:  98] i_iter 28/93 cls_loss: 0.679167
[line:  98] i_iter 29/93 cls_loss: 0.669928
[line:  98] i_iter 31/93 cls_loss: 0.696886
[line:  98] i_iter 32/93 cls_loss: 0.691562
[line:  98] i_iter 33/93 cls_loss: 0.649855
[line:  98] i_iter 34/93 cls_loss: 0.683883
[line:  98] i_iter 35/93 cls_loss: 0.668681
[line:  98] i_iter 36/93 cls_loss: 0.685400
[line:  98] i_iter 37/93 cls_loss: 0.646389
[line:  98] i_iter 38/93 cls_loss: 0.663769
[line:  98] i_iter 39/93 cls_loss: 0.659955
[line:  98] i_iter 41/93 cls_loss: 0.687657
[line:  98] i_iter 42/93 cls_loss: 0.695979
[line:  98] i_iter 43/93 cls_loss: 0.709289
[line:  98] i_iter 44/93 cls_loss: 0.660795
[line:  98] i_iter 45/93 cls_loss: 0.682971
[line:  98] i_iter 46/93 cls_loss: 0.682930
[line:  98] i_iter 47/93 cls_loss: 0.727259
[line:  98] i_iter 48/93 cls_loss: 0.705194
[line:  98] i_iter 49/93 cls_loss: 0.717645
[line:  98] i_iter 51/93 cls_loss: 0.671519
[line:  98] i_iter 52/93 cls_loss: 0.659906
[line:  98] i_iter 53/93 cls_loss: 0.642129
[line:  98] i_iter 54/93 cls_loss: 0.652503
[line:  98] i_iter 55/93 cls_loss: 0.664132
[line:  98] i_iter 56/93 cls_loss: 0.655081
[line:  98] i_iter 57/93 cls_loss: 0.624517
[line:  98] i_iter 58/93 cls_loss: 0.638598
[line:  98] i_iter 59/93 cls_loss: 0.622223
[line:  98] i_iter 61/93 cls_loss: 0.598361
[line:  98] i_iter 62/93 cls_loss: 0.620465
[line:  98] i_iter 63/93 cls_loss: 0.655190
[line:  98] i_iter 64/93 cls_loss: 0.645099
[line:  98] i_iter 65/93 cls_loss: 0.639395
[line:  98] i_iter 66/93 cls_loss: 0.639399
[line:  98] i_iter 67/93 cls_loss: 0.672106
[line:  98] i_iter 68/93 cls_loss: 0.671558
[line:  98] i_iter 69/93 cls_loss: 0.685717
[line:  98] i_iter 71/93 cls_loss: 0.707906
[line:  98] i_iter 72/93 cls_loss: 0.749062
[line:  98] i_iter 73/93 cls_loss: 0.755565
[line:  98] i_iter 74/93 cls_loss: 0.741334
[line:  98] i_iter 75/93 cls_loss: 0.752702
[line:  98] i_iter 76/93 cls_loss: 0.731070
[line:  98] i_iter 77/93 cls_loss: 0.710650
[line:  98] i_iter 78/93 cls_loss: 0.701853
[line:  98] i_iter 79/93 cls_loss: 0.688200
[line:  98] i_iter 81/93 cls_loss: 0.677874
[line:  98] i_iter 82/93 cls_loss: 0.642808
[line:  98] i_iter 83/93 cls_loss: 0.621356
[line:  98] i_iter 84/93 cls_loss: 0.644724
[line:  98] i_iter 85/93 cls_loss: 0.616047
[line:  98] i_iter 86/93 cls_loss: 0.612473
[line:  98] i_iter 87/93 cls_loss: 0.626832
[line:  98] i_iter 88/93 cls_loss: 0.592465
[line:  98] i_iter 89/93 cls_loss: 0.600114
[line:  98] i_iter 91/93 cls_loss: 0.638801
[line:  98] i_iter 92/93 cls_loss: 0.616363
[line: 121] Evaluting
[line: 102] epoch 1, Validation acc: 0.7054908485856906
[line: 121] Evaluting
[line: 112] epoch 1, Test acc: 0.7651785714285714
[line:  98] i_iter 1/93 cls_loss: 0.601800
[line:  98] i_iter 2/93 cls_loss: 0.620142
[line:  98] i_iter 3/93 cls_loss: 0.629623
[line:  98] i_iter 4/93 cls_loss: 0.618768
[line:  98] i_iter 5/93 cls_loss: 0.657571
[line:  98] i_iter 6/93 cls_loss: 0.649648
[line:  98] i_iter 7/93 cls_loss: 0.618660
[line:  98] i_iter 8/93 cls_loss: 0.610434
[line:  98] i_iter 9/93 cls_loss: 0.638686
[line:  98] i_iter 11/93 cls_loss: 0.631012
[line:  98] i_iter 12/93 cls_loss: 0.612347
[line:  98] i_iter 13/93 cls_loss: 0.634587
[line:  98] i_iter 14/93 cls_loss: 0.656626
[line:  98] i_iter 15/93 cls_loss: 0.661346
[line:  98] i_iter 16/93 cls_loss: 0.663131
[line:  98] i_iter 17/93 cls_loss: 0.675854
[line:  98] i_iter 18/93 cls_loss: 0.666043
[line:  98] i_iter 19/93 cls_loss: 0.649229
[line:  98] i_iter 21/93 cls_loss: 0.673395
[line:  98] i_iter 22/93 cls_loss: 0.685845
[line:  98] i_iter 23/93 cls_loss: 0.670273
[line:  98] i_iter 24/93 cls_loss: 0.636018
[line:  98] i_iter 25/93 cls_loss: 0.634315
[line:  98] i_iter 26/93 cls_loss: 0.634319
[line:  98] i_iter 27/93 cls_loss: 0.613897
[line:  98] i_iter 28/93 cls_loss: 0.615642
[line:  98] i_iter 29/93 cls_loss: 0.608858
[line:  98] i_iter 31/93 cls_loss: 0.597832
[line:  98] i_iter 32/93 cls_loss: 0.585999
[line:  98] i_iter 33/93 cls_loss: 0.585333
[line:  98] i_iter 34/93 cls_loss: 0.578433
[line:  98] i_iter 35/93 cls_loss: 0.554398
[line:  98] i_iter 36/93 cls_loss: 0.533319
[line:  98] i_iter 37/93 cls_loss: 0.561504
[line:  98] i_iter 38/93 cls_loss: 0.569342
[line:  98] i_iter 39/93 cls_loss: 0.587658
[line:  98] i_iter 41/93 cls_loss: 0.569273
[line:  98] i_iter 42/93 cls_loss: 0.608736
[line:  98] i_iter 43/93 cls_loss: 0.631195
[line:  98] i_iter 44/93 cls_loss: 0.650684
[line:  98] i_iter 45/93 cls_loss: 0.673985
[line:  98] i_iter 46/93 cls_loss: 0.697032
[line:  98] i_iter 47/93 cls_loss: 0.677286
[line:  98] i_iter 48/93 cls_loss: 0.672559
[line:  98] i_iter 49/93 cls_loss: 0.638809
[line:  98] i_iter 51/93 cls_loss: 0.636144
[line:  98] i_iter 52/93 cls_loss: 0.600042
[line:  98] i_iter 53/93 cls_loss: 0.583487
[line:  98] i_iter 54/93 cls_loss: 0.609434
[line:  98] i_iter 55/93 cls_loss: 0.629750
[line:  98] i_iter 56/93 cls_loss: 0.609663
[line:  98] i_iter 57/93 cls_loss: 0.609442
[line:  98] i_iter 58/93 cls_loss: 0.614340
[line:  98] i_iter 59/93 cls_loss: 0.628223
[line:  98] i_iter 61/93 cls_loss: 0.626020
[line:  98] i_iter 62/93 cls_loss: 0.615063
[line:  98] i_iter 63/93 cls_loss: 0.597360
[line:  98] i_iter 64/93 cls_loss: 0.601798
[line:  98] i_iter 65/93 cls_loss: 0.571261
[line:  98] i_iter 66/93 cls_loss: 0.600840
[line:  98] i_iter 67/93 cls_loss: 0.607884
[line:  98] i_iter 68/93 cls_loss: 0.606082
[line:  98] i_iter 69/93 cls_loss: 0.593399
[line:  98] i_iter 71/93 cls_loss: 0.594857
[line:  98] i_iter 72/93 cls_loss: 0.608950
[line:  98] i_iter 73/93 cls_loss: 0.614087
[line:  98] i_iter 74/93 cls_loss: 0.598216
[line:  98] i_iter 75/93 cls_loss: 0.618016
[line:  98] i_iter 76/93 cls_loss: 0.604478
[line:  98] i_iter 77/93 cls_loss: 0.600043
[line:  98] i_iter 78/93 cls_loss: 0.607039
[line:  98] i_iter 79/93 cls_loss: 0.604526
[line:  98] i_iter 81/93 cls_loss: 0.609590
[line:  98] i_iter 82/93 cls_loss: 0.621780
[line:  98] i_iter 83/93 cls_loss: 0.623395
[line:  98] i_iter 84/93 cls_loss: 0.602055
[line:  98] i_iter 85/93 cls_loss: 0.602600
[line:  98] i_iter 86/93 cls_loss: 0.626324
[line:  98] i_iter 87/93 cls_loss: 0.616840
[line:  98] i_iter 88/93 cls_loss: 0.607421
[line:  98] i_iter 89/93 cls_loss: 0.615563
[line:  98] i_iter 91/93 cls_loss: 0.612804
[line:  98] i_iter 92/93 cls_loss: 0.603757
[line: 121] Evaluting
[line: 102] epoch 2, Validation acc: 0.7138103161397671
[line: 121] Evaluting
[line: 112] epoch 2, Test acc: 0.7821428571428571
[line:  98] i_iter 1/93 cls_loss: 0.600453
[line:  98] i_iter 2/93 cls_loss: 0.665963
[line:  98] i_iter 3/93 cls_loss: 0.658985
[line:  98] i_iter 4/93 cls_loss: 0.683085
[line:  98] i_iter 5/93 cls_loss: 0.666893
[line:  98] i_iter 6/93 cls_loss: 0.641262
[line:  98] i_iter 7/93 cls_loss: 0.643273
[line:  98] i_iter 8/93 cls_loss: 0.634458
[line:  98] i_iter 9/93 cls_loss: 0.624184
[line:  98] i_iter 11/93 cls_loss: 0.621787
[line:  98] i_iter 12/93 cls_loss: 0.534711
[line:  98] i_iter 13/93 cls_loss: 0.491607
[line:  98] i_iter 14/93 cls_loss: 0.505259
[line:  98] i_iter 15/93 cls_loss: 0.516941
[line:  98] i_iter 16/93 cls_loss: 0.542634
[line:  98] i_iter 17/93 cls_loss: 0.530792
[line:  98] i_iter 18/93 cls_loss: 0.543434
[line:  98] i_iter 19/93 cls_loss: 0.542827
[line:  98] i_iter 21/93 cls_loss: 0.548577
[line:  98] i_iter 22/93 cls_loss: 0.549084
[line:  98] i_iter 23/93 cls_loss: 0.560606
[line:  98] i_iter 24/93 cls_loss: 0.548006
[line:  98] i_iter 25/93 cls_loss: 0.544329
[line:  98] i_iter 26/93 cls_loss: 0.540477
[line:  98] i_iter 27/93 cls_loss: 0.547532
[line:  98] i_iter 28/93 cls_loss: 0.556297
[line:  98] i_iter 29/93 cls_loss: 0.565860
[line:  98] i_iter 31/93 cls_loss: 0.578009
[line:  98] i_iter 32/93 cls_loss: 0.570416
[line:  98] i_iter 33/93 cls_loss: 0.614046
[line:  98] i_iter 34/93 cls_loss: 0.602948
[line:  98] i_iter 35/93 cls_loss: 0.595149
[line:  98] i_iter 36/93 cls_loss: 0.591722
[line:  98] i_iter 37/93 cls_loss: 0.571119
[line:  98] i_iter 38/93 cls_loss: 0.560786
[line:  98] i_iter 39/93 cls_loss: 0.563598
[line:  98] i_iter 41/93 cls_loss: 0.578731
[line:  98] i_iter 42/93 cls_loss: 0.574193
[line:  98] i_iter 43/93 cls_loss: 0.556645
[line:  98] i_iter 44/93 cls_loss: 0.538967
[line:  98] i_iter 45/93 cls_loss: 0.538473
[line:  98] i_iter 46/93 cls_loss: 0.541131
[line:  98] i_iter 47/93 cls_loss: 0.546601
[line:  98] i_iter 48/93 cls_loss: 0.550634
[line:  98] i_iter 49/93 cls_loss: 0.558652
[line:  98] i_iter 51/93 cls_loss: 0.531201
[line:  98] i_iter 52/93 cls_loss: 0.530466
[line:  98] i_iter 53/93 cls_loss: 0.494637
[line:  98] i_iter 54/93 cls_loss: 0.495497
[line:  98] i_iter 55/93 cls_loss: 0.494649
[line:  98] i_iter 56/93 cls_loss: 0.502850
[line:  98] i_iter 57/93 cls_loss: 0.495731
[line:  98] i_iter 58/93 cls_loss: 0.500360
[line:  98] i_iter 59/93 cls_loss: 0.495705
[line:  98] i_iter 61/93 cls_loss: 0.471026
[line:  98] i_iter 62/93 cls_loss: 0.500448
[line:  98] i_iter 63/93 cls_loss: 0.535356
[line:  98] i_iter 64/93 cls_loss: 0.553570
[line:  98] i_iter 65/93 cls_loss: 0.577425
[line:  98] i_iter 66/93 cls_loss: 0.571277
[line:  98] i_iter 67/93 cls_loss: 0.584631
[line:  98] i_iter 68/93 cls_loss: 0.581390
[line:  98] i_iter 69/93 cls_loss: 0.597129
[line:  98] i_iter 71/93 cls_loss: 0.645992
[line:  98] i_iter 72/93 cls_loss: 0.617314
[line:  98] i_iter 73/93 cls_loss: 0.599909
[line:  98] i_iter 74/93 cls_loss: 0.600673
[line:  98] i_iter 75/93 cls_loss: 0.613948
[line:  98] i_iter 76/93 cls_loss: 0.609748
[line:  98] i_iter 77/93 cls_loss: 0.598563
[line:  98] i_iter 78/93 cls_loss: 0.608457
[line:  98] i_iter 79/93 cls_loss: 0.597029
[line:  98] i_iter 81/93 cls_loss: 0.558626
[line:  98] i_iter 82/93 cls_loss: 0.596253
[line:  98] i_iter 83/93 cls_loss: 0.596638
[line:  98] i_iter 84/93 cls_loss: 0.583820
[line:  98] i_iter 85/93 cls_loss: 0.546989
[line:  98] i_iter 86/93 cls_loss: 0.547639
[line:  98] i_iter 87/93 cls_loss: 0.559832
[line:  98] i_iter 88/93 cls_loss: 0.556096
[line:  98] i_iter 89/93 cls_loss: 0.535442
[line:  98] i_iter 91/93 cls_loss: 0.536740
[line:  98] i_iter 92/93 cls_loss: 0.508786
[line: 121] Evaluting
[line: 102] epoch 3, Validation acc: 0.7337770382695508
[line: 121] Evaluting
[line: 112] epoch 3, Test acc: 0.7696428571428572
[line:  98] i_iter 1/93 cls_loss: 0.500327
[line:  98] i_iter 2/93 cls_loss: 0.504693
[line:  98] i_iter 3/93 cls_loss: 0.504188
[line:  98] i_iter 4/93 cls_loss: 0.498746
[line:  98] i_iter 5/93 cls_loss: 0.495887
[line:  98] i_iter 6/93 cls_loss: 0.498116
[line:  98] i_iter 7/93 cls_loss: 0.531267
[line:  98] i_iter 8/93 cls_loss: 0.519692
[line:  98] i_iter 9/93 cls_loss: 0.537096
[line:  98] i_iter 11/93 cls_loss: 0.548850
[line:  98] i_iter 12/93 cls_loss: 0.563208
[line:  98] i_iter 13/93 cls_loss: 0.548764
[line:  98] i_iter 14/93 cls_loss: 0.564017
[line:  98] i_iter 15/93 cls_loss: 0.561720
[line:  98] i_iter 16/93 cls_loss: 0.563613
[line:  98] i_iter 17/93 cls_loss: 0.563146
[line:  98] i_iter 18/93 cls_loss: 0.554237
[line:  98] i_iter 19/93 cls_loss: 0.551035
[line:  98] i_iter 21/93 cls_loss: 0.536752
[line:  98] i_iter 22/93 cls_loss: 0.539285
[line:  98] i_iter 23/93 cls_loss: 0.532513
[line:  98] i_iter 24/93 cls_loss: 0.541021
[line:  98] i_iter 25/93 cls_loss: 0.542326
[line:  98] i_iter 26/93 cls_loss: 0.556505
[line:  98] i_iter 27/93 cls_loss: 0.524553
[line:  98] i_iter 28/93 cls_loss: 0.531617
[line:  98] i_iter 29/93 cls_loss: 0.531444
[line:  98] i_iter 31/93 cls_loss: 0.546673
[line:  98] i_iter 32/93 cls_loss: 0.527645
[line:  98] i_iter 33/93 cls_loss: 0.546406
[line:  98] i_iter 34/93 cls_loss: 0.520381
[line:  98] i_iter 35/93 cls_loss: 0.534659
[line:  98] i_iter 36/93 cls_loss: 0.541077
[line:  98] i_iter 37/93 cls_loss: 0.552502
[line:  98] i_iter 38/93 cls_loss: 0.571421
[line:  98] i_iter 39/93 cls_loss: 0.561454
[line:  98] i_iter 41/93 cls_loss: 0.573715
[line:  98] i_iter 42/93 cls_loss: 0.591268
[line:  98] i_iter 43/93 cls_loss: 0.603716
[line:  98] i_iter 44/93 cls_loss: 0.603061
[line:  98] i_iter 45/93 cls_loss: 0.566937
[line:  98] i_iter 46/93 cls_loss: 0.526064
[line:  98] i_iter 47/93 cls_loss: 0.518868
[line:  98] i_iter 48/93 cls_loss: 0.512358
[line:  98] i_iter 49/93 cls_loss: 0.493233
[line:  98] i_iter 51/93 cls_loss: 0.478604
[line:  98] i_iter 52/93 cls_loss: 0.466721
[line:  98] i_iter 53/93 cls_loss: 0.446116
[line:  98] i_iter 54/93 cls_loss: 0.448422
[line:  98] i_iter 55/93 cls_loss: 0.475100
[line:  98] i_iter 56/93 cls_loss: 0.485053
[line:  98] i_iter 57/93 cls_loss: 0.503407
[line:  98] i_iter 58/93 cls_loss: 0.479669
[line:  98] i_iter 59/93 cls_loss: 0.522010
[line:  98] i_iter 61/93 cls_loss: 0.543851
[line:  98] i_iter 62/93 cls_loss: 0.525808
[line:  98] i_iter 63/93 cls_loss: 0.556382
[line:  98] i_iter 64/93 cls_loss: 0.552547
[line:  98] i_iter 65/93 cls_loss: 0.528565
[line:  98] i_iter 66/93 cls_loss: 0.521254
[line:  98] i_iter 67/93 cls_loss: 0.511136
[line:  98] i_iter 68/93 cls_loss: 0.515919
[line:  98] i_iter 69/93 cls_loss: 0.493812
[line:  98] i_iter 71/93 cls_loss: 0.480764
[line:  98] i_iter 72/93 cls_loss: 0.488727
[line:  98] i_iter 73/93 cls_loss: 0.451737
[line:  98] i_iter 74/93 cls_loss: 0.470303
[line:  98] i_iter 75/93 cls_loss: 0.482969
[line:  98] i_iter 76/93 cls_loss: 0.490966
[line:  98] i_iter 77/93 cls_loss: 0.489598
[line:  98] i_iter 78/93 cls_loss: 0.547597
[line:  98] i_iter 79/93 cls_loss: 0.536679
[line:  98] i_iter 81/93 cls_loss: 0.496296
[line:  98] i_iter 82/93 cls_loss: 0.488812
[line:  98] i_iter 83/93 cls_loss: 0.503136
[line:  98] i_iter 84/93 cls_loss: 0.471885
[line:  98] i_iter 85/93 cls_loss: 0.457825
[line:  98] i_iter 86/93 cls_loss: 0.506569
[line:  98] i_iter 87/93 cls_loss: 0.491864
[line:  98] i_iter 88/93 cls_loss: 0.449421
[line:  98] i_iter 89/93 cls_loss: 0.442619
[line:  98] i_iter 91/93 cls_loss: 0.484325
[line:  98] i_iter 92/93 cls_loss: 0.512212
[line: 121] Evaluting
[line: 102] epoch 4, Validation acc: 0.7038269550748752
[line:  98] i_iter 1/93 cls_loss: 0.527749
[line:  98] i_iter 2/93 cls_loss: 0.539905
[line:  98] i_iter 3/93 cls_loss: 0.520973
[line:  98] i_iter 4/93 cls_loss: 0.538633
[line:  98] i_iter 5/93 cls_loss: 0.546965
[line:  98] i_iter 6/93 cls_loss: 0.574489
[line:  98] i_iter 7/93 cls_loss: 0.547948
[line:  98] i_iter 8/93 cls_loss: 0.561979
[line:  98] i_iter 9/93 cls_loss: 0.543677
[line:  98] i_iter 11/93 cls_loss: 0.532367
[line:  98] i_iter 12/93 cls_loss: 0.569346
[line:  98] i_iter 13/93 cls_loss: 0.567083
[line:  98] i_iter 14/93 cls_loss: 0.610420
[line:  98] i_iter 15/93 cls_loss: 0.612569
[line:  98] i_iter 16/93 cls_loss: 0.585417
[line:  98] i_iter 17/93 cls_loss: 0.590282
